transaction_id,timestamp,amount,user_id,merchant_category,device,location,ip_address,user_transaction_count,is_fraud
TXN0000001,2025-09-02 05:45:21.652966,556.9272200237665,USER00478,Utilities,Android,Mumbai,164.6.139.17,45,0
TXN0000002,2025-07-12 23:12:13.652966,1050.0080470594412,USER00255,Food,Android,Jaipur,170.245.203.22,54,0
TXN0000003,2025-07-04 14:03:46.652966,449.7899078497603,USER00059,Retail,Web,Kochi,164.140.29.15,31,0
TXN0000004,2025-09-12 03:43:17.652966,1651.4350531259554,USER00008,Retail,iOS,Kochi,220.232.251.88,33,0
TXN0000005,2025-07-28 20:38:54.652966,91851.98075269544,USER00307,Utilities,Android,Kochi,221.53.19.189,47,0
TXN0000006,2025-07-25 22:25:22.652966,44.94798596124522,USER00389,Retail,Android,Hyderabad,107.78.90.67,43,0
TXN0000007,2025-07-23 19:54:08.652966,21114.288837999382,USER00076,Utilities,iOS,Kolkata,121.214.61.28,45,0
TXN0000008,2025-07-15 16:55:49.652966,509.02206783235357,USER00426,Utilities,Android,Bangalore,213.31.160.49,40,0
TXN0000009,2025-09-11 15:53:09.652966,183.1236135706366,USER00078,Healthcare,Web,Jaipur,239.142.99.8,45,1
TXN0000010,2025-07-12 02:36:52.652966,1584.2591716576112,USER00124,Retail,iOS,Pune,185.162.86.187,36,0
TXN0000011,2025-09-05 20:36:27.652966,121.03881772375628,USER00012,Electronics,Android,Chennai,232.7.206.213,42,0
TXN0000012,2025-09-12 01:39:52.652966,76741.01626805613,USER00280,Entertainment,iOS,Mumbai,115.33.98.75,54,0
TXN0000013,2025-09-26 18:42:45.652966,50.532572399673086,USER00045,Transport,Android,Bhopal,168.42.88.227,52,0
TXN0000014,2025-08-24 02:34:47.652966,18.464216846831096,USER00053,Utilities,Web,Chennai,111.141.101.209,23,0
TXN0000015,2025-07-10 14:21:56.652966,1367.2737058501236,USER00181,Entertainment,Android,Bangalore,144.1.159.140,37,1
TXN0000016,2025-08-28 11:43:51.652966,24764.432155295577,USER00401,Transport,Web,Hyderabad,243.179.60.174,33,0
TXN0000017,2025-08-12 02:55:57.652966,249.73445263356513,USER00449,Entertainment,iOS,Kochi,219.44.237.45,35,0
TXN0000018,2025-07-05 05:50:33.652966,1086.637839731507,USER00374,Healthcare,Web,Mumbai,129.46.93.44,44,1
TXN0000019,2025-07-05 01:12:58.652966,454.92215509824626,USER00234,Food,iOS,Kochi,147.162.10.86,45,0
TXN0000020,2025-07-11 06:06:33.652966,155.07032247508567,USER00186,Healthcare,Android,Chennai,102.111.191.235,56,0
TXN0000021,2025-07-23 09:14:49.652966,331.8116530797595,USER00293,Electronics,Android,Mumbai,120.126.157.97,37,0
TXN0000022,2025-07-24 17:55:22.652966,48348.1088971409,USER00075,Food,Android,Mumbai,133.158.27.194,38,0
TXN0000023,2025-08-20 05:20:48.652966,91309.78289754868,USER00426,Utilities,Android,Hyderabad,173.91.142.71,40,1
TXN0000024,2025-08-29 14:35:20.652966,380.77221126473876,USER00198,Utilities,iOS,Hyderabad,244.161.211.115,27,0
TXN0000025,2025-07-04 17:37:00.652966,436.8562643371641,USER00079,Retail,iOS,Jaipur,148.139.102.90,47,0
TXN0000026,2025-08-25 15:34:45.652966,495.0970568296174,USER00233,Transport,Android,Kochi,175.132.225.135,42,0
TXN0000027,2025-07-21 11:06:32.652966,1721.356246380777,USER00168,Food,iOS,Pune,123.250.181.186,44,0
TXN0000028,2025-09-09 16:13:48.652966,101.33839384611737,USER00023,Food,iOS,Hyderabad,189.230.87.18,41,0
TXN0000029,2025-09-03 06:07:26.652966,8369.610607458322,USER00407,Food,iOS,Bangalore,249.197.79.107,45,0
TXN0000030,2025-09-08 05:59:21.652966,467.00929084552257,USER00486,Healthcare,Android,Bangalore,211.177.147.106,45,0
TXN0000031,2025-08-24 01:35:21.652966,68.12298604376292,USER00230,Groceries,Web,Kolkata,187.137.46.107,46,0
